id,name,pos,team,set-id,set-userid,set-name,ssn-gms,ssn-ssn,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-2pt,rec-1d,rec-rec,rec-tgt,rec-td,rec-yds,fum-lost,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,idp-2pr,idp-ast,idp-blk,idp-fmr,idp-fmf,idp-int,idp-pd,idp-sck,idp-saf,idp-tac,idp-tfl,idp-td,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,pr-td,pr-yds,kr-td,kr-yds
AwuzCh99,Chidobe Awuzie,cb,BAL,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0.17,0.37,1.2,7.1,0.03,0,32.3,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MurpBy99,Byron Murphy Jr.,cb,MIN,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0.5,1.03,2.53,10.87,0.13,0,46.7,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChinJe99,Jeremy Chinn,s,LV,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.13,0,1,1.27,1.1,4.57,1.27,0,62.73,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RodgIs99,Isaiah Rodgers,cb,MIN,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.43,0,0.17,0.57,1.2,6.47,0.03,0,39.17,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BushDe97,Devin Bush,lb,CHI,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.97,0,1.17,1.23,0.93,4.03,1.73,0,62.43,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CrosMa99,Maxx Crosby,de,LV,67054,-1,Consensus,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.93,0,0.97,2,0.17,5.5,11.83,0,44.4,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PayeKw99,Kwity Paye,de,LV,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0.73,1.27,0.03,1.07,6.1,0,26.97,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CiscAn99,Andre Cisco,s,NYJ,67054,-1,Consensus,15.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0.2,0.17,1.3,4.13,0.1,0,33.17,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParkA.99,A.J. Parker,cb,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0.33,2.33,0,0,13.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GayxWi98,Willie Gay Jr,lb,MIA,67054,-1,Consensus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,0.53,0.5,0.7,2.33,1.23,0,20.9,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnWi98,Will Johnson,cb,ARI,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.13,0,0.47,1.1,1.37,10.87,0.23,0,41.1,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WiggNa99,Nate Wiggins,cb,BAL,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0.2,0.3,1.67,10.53,0.03,0,41,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WallLe97,Levi Wallace,cb,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0.5,3.67,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlleJo99,Jonathan Allen,dt,CIN,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0.67,0.8,0.03,0.27,4.3,0,29.53,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WalkJa99,Jalon Walker,de,ATL,67054,-1,Consensus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73,0,0.83,1,0.13,1.4,4.03,0,21.13,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CartJa97,Jalen Carter,dt,PHI,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.67,0,0.83,1.37,0,4.4,4.8,0,30.93,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LandHa99,Harold Landry III,de,NE,67054,-1,Consensus,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0.37,1.2,0,1.3,6.47,0,27.4,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LawrDe99,DeMarcus Lawrence,de,SEA,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.63,0,1.1,2.2,0,1.7,6.6,0,29.27,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeltDa99,Dane Belton,s,NYJ,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,0,0.83,1.13,0.93,4.2,0.87,0,33.43,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SuttCa99,Cameron Sutton,cb,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0.03,0.03,0.67,3,0.1,0,13.67,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YounBy98,Byron Young,de,LAR,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17,0,0.73,0.97,0.03,0.63,9.3,0,38.87,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RobeAm99,Amik Robertson,cb,WAS,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,0,0.13,0.63,1,7.27,0.2,0,41.67,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ThomSh98,Shaq Thompson,lb,FA,67054,-1,Consensus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17,0,0.23,0.93,0.43,1.93,0.73,0,27.27,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HarrRo98,Ronnie Harrison Jr.,s,MIA,67054,-1,Consensus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0.13,0.17,0.43,1.53,0.73,0,22.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BosaNi99,Nick Bosa,de,SF,67054,-1,Consensus,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.77,0,1.47,2.6,0.07,1.57,10.1,0,31.53,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GarrMy99,Myles Garrett,de,LAR,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0.9,2.93,0.03,2.33,14.67,0,39.13,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CartMi99,Michael Carter II,cb,PHI,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93,0,0.13,0.07,0.3,2.97,0.1,0,23.53,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
